feature,importance,std
rmse_max_01,0.019227833260592887,0.004807847748926014
spectral_bandwidth_std_01,0.009543662884097099,0.004926405516023263
zcr_std_01,0.008706348720094598,0.005061372972608007
spectral_contrast_skew_02,0.006390687818817875,0.0027625720355127083
spectral_contrast_max_06,0.005887949009794863,0.004144881231610157
mfcc_min_01,0.005591847309824921,0.001854763418176848
spectral_contrast_median_03,0.005590775022199068,0.002479351943047273
mfcc_median_03,0.005583346569113579,0.0038602018746533477
chroma_stft_std_06,0.005311374125449031,0.0035218857795971943
mfcc_std_04,0.005216916188003118,0.0017238763350535123
mfcc_min_05,0.004985584121213149,0.005644318731446644
chroma_stft_min_03,0.004728740899289113,0.0031206908070396076
mfcc_kurtosis_01,0.004712809619086278,0.001800977007635873
mfcc_kurtosis_06,0.004678973481431209,0.0010474396326415765
mfcc_skew_06,0.004339614851169793,0.00396779597942918
mfcc_mean_17,0.00432957867983041,0.0021552908329376657
chroma_stft_median_01,0.004207149679525052,0.0022440704582046434
tonnetz_std_01,0.004124363553618404,0.0019690396038278555
rmse_min_01,0.004109339289507924,0.004246123739568715
mfcc_std_15,0.004098737578734091,0.0018113322055063768
mfcc_median_04,0.004009554437502172,0.0037774273775389652
zcr_median_01,0.003971876845746148,0.003192306131188389
tonnetz_kurtosis_04,0.0038939143483613494,0.0018806459427778521
spectral_contrast_max_01,0.00382935877892962,0.004193800375643557
mfcc_std_02,0.00370630642384282,0.003869273069766391
mfcc_std_13,0.0036535157947886754,0.002481583594438828
mfcc_max_07,0.0036002611184086596,0.002597589479141944
mfcc_min_10,0.003598975583600289,0.0022052074521615845
rmse_skew_01,0.0035690835093314666,0.0015940334851311934
mfcc_max_16,0.0035175562131322833,0.0023398333712864846
tonnetz_std_02,0.0033172660267083987,0.0024045857735176877
mfcc_max_10,0.0033026114752757072,0.0015965408531425117
mfcc_median_08,0.0032532999456062472,0.0024695621759443682
chroma_cqt_skew_02,0.0032521130540159537,0.0020573908949231257
spectral_contrast_skew_03,0.0032515473273267204,0.004186460962824708
tonnetz_std_05,0.0030639586188228873,0.0019352353113697685
zcr_max_01,0.003039394260694239,0.0018864787112159262
tonnetz_std_06,0.003014248836501482,0.0018716449319605712
mfcc_skew_04,0.0029274207720166256,0.0028999475414666523
spectral_bandwidth_kurtosis_01,0.002819084016287693,0.0016634412094697203
chroma_stft_mean_06,0.0027964892247070326,0.0016245815545658992
zcr_mean_01,0.002775159868756616,0.0038359958654669646
tonnetz_std_03,0.0027637671366767145,0.001716951700310026
chroma_stft_median_07,0.0027421817582910903,0.003133297938521978
spectral_contrast_median_01,0.002723207201831884,0.0018512916385310977
mfcc_std_06,0.002696280901997028,0.0016058365731259302
chroma_cqt_std_10,0.002597877568515933,0.001617284792413282
mfcc_median_07,0.0025957978228917933,0.001516925735453382
mfcc_kurtosis_09,0.002535418665307554,0.0032688640868339075
mfcc_max_06,0.0024029403717665044,0.001912599668126837
chroma_stft_std_03,0.0023594633072390623,0.0014422633085834627
chroma_stft_std_01,0.0023587837733911434,0.003281846412264786
spectral_rolloff_max_01,0.002323716626281963,0.002251433884129496
mfcc_mean_07,0.0023164398706787604,0.00254785227443179
mfcc_mean_04,0.0022163150143695797,0.0029090214504472332
tonnetz_kurtosis_01,0.0021858225029609433,0.0032331820622152237
mfcc_mean_08,0.0021791812946802547,0.0023412412447239004
chroma_cens_max_11,0.002134088610633994,0.00130288906740366
mfcc_min_04,0.002099665505809861,0.0017872816255868629
chroma_cens_median_04,0.0020969584793054607,0.0022181545600268118
mfcc_kurtosis_17,0.002051955663580257,0.0032474786281140367
chroma_stft_mean_10,0.002049589239623939,0.0019675399239375553
mfcc_kurtosis_12,0.002041278524035689,0.002429806791421406
mfcc_std_09,0.0020207381152257398,0.0019643544789260596
mfcc_median_20,0.0020160094293696753,0.0023856493630486164
chroma_stft_mean_04,0.001991032073629989,0.0011713597380119335
chroma_stft_std_09,0.001925413981551144,0.0010365574241890088
mfcc_min_19,0.0019202214487103852,0.002512474743393189
mfcc_max_13,0.0018907068883614875,0.002674551859747491
chroma_cqt_min_11,0.0018737377726288362,0.0019459931628657751
chroma_stft_std_11,0.0018671438380001627,0.0027474296414964194
chroma_cqt_std_01,0.0018492306891703726,0.0013186006266816448
chroma_cens_std_11,0.0018478716858681577,0.0009814552772162532
mfcc_kurtosis_18,0.0018252819702782475,0.0018890902825694628
chroma_stft_median_12,0.0017855968787587773,0.0013292918816815741
chroma_stft_std_05,0.0017764906097005539,0.0013312512666890494
chroma_cqt_median_02,0.001772848593540266,0.002000494032188823
spectral_centroid_min_01,0.0017540519367766293,0.00243297499912789
mfcc_std_20,0.0017100914061164818,0.0011522286031423916
tonnetz_mean_05,0.0017008861772244532,0.001579884675641997
rmse_std_01,0.0016310204114919236,0.0035953033688525546
tonnetz_min_03,0.0016218481265118435,0.001189225911871012
mfcc_max_02,0.0016063587573022509,0.004297251710395139
mfcc_std_18,0.001593336499037351,0.0017546881183264477
chroma_cens_max_10,0.0015756345438057262,0.0012201338663070697
zcr_kurtosis_01,0.0015483430708615297,0.0014614436864208082
chroma_stft_kurtosis_10,0.0015208836499119804,0.0023188331171357965
chroma_cens_max_07,0.0014992004001187996,0.0016502114756639552
mfcc_std_16,0.0014921026610777543,0.0017822344555796523
tonnetz_skew_01,0.001462924001576893,0.0017884031568405746
mfcc_mean_05,0.0014478123470107907,0.0028969535787419748
mfcc_mean_13,0.0014185115583176088,0.0014005867189017115
mfcc_min_20,0.0013714706742155303,0.004744795470643462
chroma_cqt_kurtosis_11,0.0013443938083209817,0.0010253718587863677
mfcc_min_13,0.0013295327121357614,0.004340195860364414
tonnetz_max_04,0.0013273342650537757,0.0018496381885710915
chroma_cens_median_03,0.0013184866078897127,0.002588598480285093
rmse_kurtosis_01,0.0013162049476884929,0.0035239647185497766
mfcc_skew_16,0.001314986014428765,0.0011042262818941279
mfcc_min_11,0.0013088817223769812,0.0013598280789943566
spectral_centroid_skew_01,0.0013032615803380387,0.0018042514906793383
spectral_contrast_std_02,0.0012988507593258924,0.0032362188792644775
chroma_stft_mean_12,0.00126037678164016,0.0025878116810656034
chroma_stft_min_01,0.001258225152076692,0.0010234273103425884
spectral_contrast_max_07,0.0011862805597522175,0.0024144102814820183
mfcc_kurtosis_13,0.0011850504821776908,0.002296828630970454
chroma_cens_mean_02,0.0011347905838888061,0.001912878633197108
spectral_contrast_median_07,0.0011285436586211451,0.0022478903192444076
tonnetz_min_04,0.0010858996933185538,0.001397781421334488
chroma_stft_std_07,0.001082424295884349,0.0025357086307843837
mfcc_kurtosis_10,0.0010783965706753662,0.0020735302751908784
chroma_stft_mean_01,0.0010730184409590616,0.0009868672464573482
mfcc_median_05,0.001041152775703247,0.0019258293126297613
chroma_cqt_kurtosis_12,0.001039913064575526,0.002216728876250178
spectral_contrast_skew_01,0.001039626365891755,0.0011487178808986468
chroma_stft_skew_05,0.0010363522397191295,0.0006394626757181539
mfcc_median_17,0.0010331826960356838,0.0009939937255882872
